,pcfg_jed,pcfg_odz,pcfg_prec,pcfg_f1,pcfg_isti,cnn_jed,cnn_odz,cnn_prec,cnn_f1,cnn_isti
tdbD00001791,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00001797,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00001798,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00001804,0.974025974025974,0.9523809523809523,1.0,0.975609756097561,False,1.0,1.0,1.0,1.0,True
tdbD00001812,0.974025974025974,0.9545454545454546,1.0,0.9767441860465117,False,1.0,1.0,1.0,1.0,True
tdbD00001940,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00002093,0.8133333333333334,0.7619047619047619,0.6666666666666666,0.7111111111111111,False,1.0,1.0,1.0,1.0,True
tdbD00002124,0.972972972972973,1.0,0.9545454545454546,0.9767441860465117,False,1.0,1.0,1.0,1.0,True
tdbD00002275,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,False,1.0,1.0,1.0,1.0,True
tdbD00002276,0.9444444444444444,0.9090909090909091,1.0,0.9523809523809523,False,1.0,1.0,1.0,1.0,True
tdbD00002395,0.515625,0.0,0.0,0.0,False,0.8125,0.5882352941176471,0.7142857142857143,0.6451612903225806,False
tdbD00002418,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00002436,0.9459459459459459,0.7619047619047619,0.7619047619047619,0.7619047619047619,False,1.0,1.0,1.0,1.0,True
tdbD00002438,0.8108108108108109,0.8,0.7619047619047619,0.7804878048780488,False,1.0,1.0,1.0,1.0,True
tdbD00002463,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00002575,0.5277777777777778,0.3333333333333333,0.5833333333333334,0.4242424242424242,False,1.0,1.0,1.0,1.0,True
tdbD00002585,0.8356164383561644,0.8,0.7272727272727273,0.761904761904762,False,1.0,1.0,1.0,1.0,True
tdbD00002593,0.4794520547945205,0.0,0.0,0.0,False,1.0,1.0,1.0,1.0,True
tdbD00002594,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00002609,0.8588235294117647,0.84,0.7777777777777778,0.8076923076923077,False,0.9058823529411765,0.84,1.0,0.9130434782608696,False
tdbD00002611,0.9523809523809523,1.0,0.9285714285714286,0.962962962962963,False,1.0,1.0,1.0,1.0,True
tdbD00002618,0.967032967032967,0.9615384615384616,0.9615384615384616,0.9615384615384616,False,1.0,1.0,1.0,1.0,True
tdbD00002637,0.651685393258427,0.35714285714285715,0.3225806451612903,0.3389830508474576,False,0.9775280898876404,0.9642857142857143,1.0,0.9818181818181818,False
tdbD00002642,1.0,1.0,1.0,1.0,True,0.9775280898876404,0.9615384615384616,1.0,0.9803921568627451,False
tdbD00002664,0.6222222222222222,0.42857142857142855,0.4444444444444444,0.43636363636363634,False,0.9555555555555556,0.9642857142857143,0.9642857142857143,0.9642857142857143,False
tdbD00002879,0.8414634146341463,0.6666666666666666,0.6956521739130435,0.6808510638297872,False,1.0,1.0,1.0,1.0,True
tdbD00002882,0.8780487804878049,0.8,1.0,0.888888888888889,False,1.0,1.0,1.0,1.0,True
tdbD00002885,0.8536585365853658,0.8,0.8695652173913043,0.8333333333333333,False,0.9024390243902439,0.84,1.0,0.9130434782608696,False
tdbD00002908,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00002924,0.8933333333333333,1.0,0.84,0.9130434782608696,False,1.0,1.0,1.0,1.0,True
tdbD00002938,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00002954,0.9452054794520548,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
tdbD00002962,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00002971,0.9166666666666666,0.9545454545454546,0.9130434782608695,0.9333333333333332,False,1.0,1.0,1.0,1.0,True
tdbD00003076,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00003077,0.8194444444444444,0.7,0.7777777777777778,0.7368421052631577,False,1.0,1.0,1.0,1.0,True
tdbD00003082,0.9166666666666666,0.9,0.9,0.9,False,1.0,1.0,1.0,1.0,True
tdbD00003084,0.8888888888888888,0.8947368421052632,0.8947368421052632,0.8947368421052632,False,1.0,1.0,1.0,1.0,True
tdbD00003086,0.9444444444444444,0.9047619047619048,1.0,0.9500000000000001,False,1.0,1.0,1.0,1.0,True
tdbD00003095,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00003097,0.8904109589041096,0.85,0.8095238095238095,0.8292682926829269,False,1.0,1.0,1.0,1.0,True
tdbD00003099,0.8082191780821918,0.8823529411764706,0.6521739130434783,0.75,False,0.9452054794520548,0.8823529411764706,1.0,0.9375,False
tdbD00003103,0.9736842105263158,1.0,0.9545454545454546,0.9767441860465117,False,1.0,1.0,1.0,1.0,True
tdbD00003109,0.6944444444444444,0.5714285714285714,0.75,0.6486486486486486,False,1.0,1.0,1.0,1.0,True
tdbD00003239,0.625,0.5714285714285714,0.6666666666666666,0.6153846153846153,False,1.0,1.0,1.0,1.0,True
tdbD00003249,0.821917808219178,0.8,0.7619047619047619,0.7804878048780488,False,1.0,1.0,1.0,1.0,True
tdbD00003252,0.8082191780821918,0.6,0.631578947368421,0.6153846153846154,False,1.0,1.0,1.0,1.0,True
tdbD00003253,0.9178082191780822,0.85,0.85,0.85,False,1.0,1.0,1.0,1.0,True
tdbD00003258,0.8571428571428571,0.7222222222222222,1.0,0.8387096774193548,False,0.8,0.6111111111111112,0.8461538461538461,0.7096774193548387,False
tdbD00003276,0.7432432432432432,0.6,0.6666666666666666,0.631578947368421,False,1.0,1.0,1.0,1.0,True
tdbD00003496,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00003511,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00003512,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00003650,0.7590361445783133,0.72,0.8181818181818182,0.7659574468085107,False,0.9036144578313253,0.84,1.0,0.9130434782608696,False
tdbD00003653,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00003655,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00003656,0.9726027397260274,0.9523809523809523,1.0,0.975609756097561,False,1.0,1.0,1.0,1.0,True
tdbD00003658,0.7671232876712328,0.5,0.625,0.5555555555555556,False,1.0,1.0,1.0,1.0,True
tdbD00003659,0.863013698630137,0.75,1.0,0.8571428571428571,False,1.0,1.0,1.0,1.0,True
tdbD00003662,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00003699,0.9473684210526315,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
tdbD00003722,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00003745,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00003752,0.9473684210526315,1.0,0.9130434782608695,0.9545454545454545,False,1.0,1.0,1.0,1.0,True
